rank,name,confed,off,def,spi
186,Papua New Guinea,OFC,0.6,2.88,9.16
187,Somalia,CAF,0.54,2.94,8.05
188,Bahamas,CONCACAF,0.73,3.44,7.5
189,Seychelles,CAF,0.41,2.8,7.04
190,Bangladesh,AFC,0.25,2.46,6.78
191,Maldives,AFC,0.38,2.83,6.63
192,French Guiana,CONCACAF,0.52,3.18,6.57
193,Nepal,AFC,0.25,2.56,6.19
194,Chinese Taipei,AFC,0.48,3.25,5.75
195,Mongolia,AFC,0.29,2.78,5.61
196,San Marino,UEFA,0.28,3.18,3.97
197,British Virgin Islands,CONCACAF,0.42,3.62,3.88
198,Cambodia,AFC,0.29,3.27,3.75
199,Bonaire,CONCACAF,0.37,3.59,3.5
200,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
201,Guam,AFC,0.51,4.31,2.74
202,Guadeloupe,CONCACAF,0.2,3.49,2.47
203,Anguilla,CONCACAF,0.35,4.08,2.29
204,Brunei,AFC,0.21,3.71,2.13
205,US Virgin Islands,CONCACAF,0.38,4.38,1.93
206,Sri Lanka,AFC,0.2,3.91,1.71
207,Pakistan,AFC,0.2,3.92,1.71
208,Laos,AFC,0.21,4.11,1.48
209,Bhutan,AFC,0.22,4.62,0.98
210,St. Martin,CONCACAF,0.23,4.89,0.81
211,Sint Maarten,CONCACAF,0.21,4.93,0.74
212,Tuvalu,OFC,0.38,5.62,0.7
213,Timor-Leste,AFC,0.33,5.56,0.64
214,Macau,AFC,0.2,5.11,0.6
215,Samoa,OFC,0.2,5.78,0.34
216,Tonga,OFC,0.2,6.08,0.26
